facialacc_cls;budget;kvsr;kfsr;kcsr;kvr;kesr;subkesr;meanstype;summa
109010010;146;909;801;2000020000;244;225;1002000;10392;-149233.55
109010010;146;909;801;2000020000;244;226;1002000;10392;149233.55
837010010;149;937;113;9900060000;612;241;1001400;10187;-3000.0
837010010;149;937;113;9900060000;612;241;1001400;10183;-11875.0
837010010;149;937;113;9900060000;612;241;1001400;10185;-399922.91
837010010;149;937;113;9900060000;612;241;1001400;10186;-8152.0
837010010;149;937;113;9900060000;612;241;1001400;10191;-31160.0
837010010;149;937;113;9900060000;611;241;1001400;10187;3000.0
837010010;149;937;113;9900060000;611;241;1001400;10183;11875.0
837010010;149;937;113;9900060000;611;241;1001400;10185;399922.91
837010010;149;937;113;9900060000;611;241;1001400;10186;8152.0
837010010;149;937;113;9900060000;611;241;1001400;10191;31160.0
114010010;146;914;1003;9900051350;322;262;3002000;10020;8581716.0
157010010;146;957;309;9900020000;243;225;1001400;10001;1400000.0
157010030;146;957;309;9900012000;244;310;1001306;10004;1000000.0
134010030;146;934;113;9900012000;111;211;1001311;10004;328400.0
134010020;146;934;113;9900012000;111;211;1001312;10004;46100.0
134010030;146;934;113;9900012000;119;213;1001311;10004;99200.0
134010020;146;934;113;9900012000;119;213;1001312;10004;13900.0
134010010;146;934;314;2000020000;244;226;1001400;10004;17000000.0
109010010;146;909;701;99000L0210;414;310;1002609;10022;-16950000.0
109010010;146;909;701;4510040000;414;310;1002429;10022;5825000.0
109010010;146;909;701;4510040000;414;226;1002429;10022;500000.0
109010010;146;909;701;4510040000;414;310;1002428;10022;5825000.0
109010010;146;909;701;4510040000;414;226;1002428;10022;500000.0
109010010;146;909;701;4510040000;414;310;1002647;10022;4300000.0
109010010;146;909;701;4510040000;414;310;1002647;10022;0.0
109010010;146;909;701;4510040000;414;310;1002429;10022;0.0
109010010;146;909;701;4510040000;414;310;1002428;10022;0.0
114010210;146;914;1002;5400012000;244;340;1001303;10004;-5100.0
114010210;146;914;1002;5400012000;244;340;1001303;10998;5100.0
109010010;146;909;412;9900060000;611;241;1001400;10187;-60000.0
109010010;146;909;412;9900060000;611;241;1001400;10187;60000.0
103010010;146;903;804;6900060000;611;241;1001000;10191;-100000.0
103010010;146;903;804;6900060000;611;241;1001000;10183;-100000.0
103010010;146;903;804;6900060000;611;241;1001000;10186;200000.0
106010010;146;906;701;4510060000;611;241;1001000;10176;25686300.0
106010010;146;906;701;4510060000;611;241;1001000;10178;7757300.0
106010010;146;906;701;4510060000;611;241;1001000;10183;1470800.0
106010010;146;906;701;4510060000;611;241;1001000;10185;2146576.64
106010010;146;906;701;4510060000;611;241;1001000;10186;282623.36
106010010;146;906;701;4510060000;611;241;1001013;10186;-790000.0
106010010;146;906;701;4510060000;612;241;1001000;10189;547900.0
106010010;146;906;701;4510060000;612;241;1001000;10190;2452100.0
106010010;146;906;701;4510060000;621;241;1001000;10176;2142900.0
106010010;146;906;701;4510060000;621;241;1001000;10178;647200.0
106010010;146;906;701;4510060000;621;241;1001000;10183;113100.0
106010010;146;906;701;4510060000;621;241;1001000;10186;986900.0
839010010;151;939;503;9900060000;611;241;1002000;10186;-93000.0
839010010;151;939;503;9900060000;611;241;1002000;10183;93000.0
106010010;146;906;702;4520060000;611;241;1001000;10176;11202900.0
106010010;146;906;702;4520060000;611;241;1001000;10178;3383300.0
106010010;146;906;702;4520060000;621;241;1001000;10176;232600.0
106010010;146;906;702;4520060000;621;241;1001000;10178;70200.0
106010010;146;906;703;4530060000;611;241;1001000;10176;11582100.0
106010010;146;906;703;4530060000;611;241;1001000;10178;3497800.0
106010010;146;906;703;4530060000;621;241;1001000;10176;340800.0
106010010;146;906;703;4530060000;621;241;1001000;10178;102900.0
106010010;146;906;705;4520060000;611;241;1001000;10176;2614400.0
106010010;146;906;705;4520060000;611;241;1001000;10178;789500.0
106010010;146;906;705;4520060000;612;241;1001000;10184;790000.0
106010010;146;906;709;4550060000;612;241;1001000;10186;-2411700.0
106010010;146;906;709;4550060000;621;241;1001000;10176;377900.0
106010010;146;906;709;4550060000;621;241;1001000;10178;114100.0
106010010;146;906;709;4550060000;621;241;1001000;10186;1364800.0
106010010;146;906;709;4550060000;621;241;1001000;10191;238700.0
106010010;146;906;709;4550060000;622;241;1001000;10184;31000000.0
106010010;146;906;709;4550060000;622;241;1001000;10189;323160.0
106010010;146;906;709;4550060000;622;241;1001000;10190;485040.0
106010010;146;906;709;4580060000;611;241;1001000;10176;1100.0
106010010;146;906;709;4580060000;611;241;1001000;10178;300.0
837010010;149;937;113;9900060000;611;241;1001400;10183;-28000.0
837010010;149;937;113;9900060000;611;241;1001400;10188;28000.0
838010010;150;938;113;9900060000;611;241;1001400;10179;6000.0
838010010;150;938;113;9900060000;611;241;1001400;10181;-6000.0
114010010;146;914;1006;9900020000;244;225;1001200;10004;252173.41
114010010;146;914;1006;9900020000;244;310;1001200;10004;110000.0
114010010;146;914;1006;9900020000;244;340;1001200;10998;-362173.41
110010010;146;910;503;4800060000;814;241;1002000;10075;600.0
110010010;146;910;503;4800060000;814;241;1002639;10075;-600.0
110010010;146;910;409;2100020000;244;225;1002000;10106;7500000.0
110010010;146;910;501;2000060000;634;242;1002000;10320;15960600.0
110010010;146;910;501;2000060000;814;242;1002000;10320;10000000.0
110010010;146;910;503;4800020000;244;225;1002000;10004;14000000.0
110010010;146;910;503;4800020000;244;225;1002000;10008;2605600.0
110010010;146;910;503;4800020000;244;225;1002000;10227;8500000.0
110010010;146;910;503;4800020000;244;225;1002000;10428;652200.0
110010010;146;910;503;4800020000;244;226;1002000;10120;500000.0
110010010;146;910;503;4800020000;634;242;1002000;10167;3370000.0
110010010;146;910;503;4800060000;814;241;1002639;10075;115200.0
110010010;146;910;503;4800060000;814;241;1002640;10087;7795300.0
110010010;146;910;503;4800060000;814;241;1002641;10075;14780000.0
110010010;146;910;503;9900020000;243;225;1002000;10256;6513000.0
110010010;146;910;503;9900020000;244;225;1002000;10381;7154000.0
110010010;146;910;503;9900020000;244;225;1002000;10436;5504400.0
110010010;146;910;605;9900020000;244;226;1002000;10436;500000.0
110010010;146;910;505;9900060000;611;241;1001420;10176;362300.0
110010010;146;910;505;9900060000;611;241;1001420;10178;109400.0
110010010;146;910;505;9900060000;611;241;1001421;10183;7947200.0
110010010;146;910;501;9900060000;814;241;1002000;10041;22388754.87
110010010;146;910;501;9900060000;814;241;1002000;10041;-22388754.87
110010010;146;910;503;4800020000;244;225;1002000;10030;-174915.51
110010010;146;910;503;4800020000;244;225;1002000;10998;174915.51
110010010;146;910;505;9900060000;611;241;1001421;10186;5716000.0
157010010;146;957;309;9900079900;814;241;1003004;10004;4825.72
838010010;150;938;104;9900011000;244;226;1001100;10004;-2000.0
838010010;150;938;104;9900011000;244;221;1001100;10004;2000.0
838010010;150;938;314;9900060000;634;242;1001406;10004;0.0
117010010;146;917;412;9900020000;244;226;1002000;10004;-1321200.0
117010010;146;917;412;9900020000;244;226;1002000;10004;1321200.0
838010010;150;938;104;9900011000;853;290;1001100;10004;-1000.0
838010010;150;938;104;9900011000;853;292;1001100;10004;1000.0
838010010;150;938;104;9900011000;852;290;1001100;10004;-2800.0
838010010;150;938;104;9900011000;852;291;1001100;10004;2800.0
